,creator,duration,id,labels,ladder,title,views
12,Laroo T H H   The Jacka,214.0,qucmp5bOwkw,[14],"[{'160 - 256x144 (144p)': 110.876}, {'133 - 426x240 (240p)': 249.233}, {'134 - 640x360 (360p)': 606.098}, {'135 - 854x480 (480p)': 1108.672}, {'136 - 1280x720 (720p)': 2217.326}, {'137 - 1920x1080 (1080p)': 4207.256}]","Laroo, Jacka, Iamsu - ""Ima Tell You"" - Directed by @JaeSynth",162362.0
13,,160.0,qvZh_T548RM,[9],"[{'160 - 256x144 (144p)': 122.447}, {'133 - 426x240 (240p)': 252.828}, {'134 - 640x360 (360p)': 301.309}, {'135 - 854x480 (480p)': 613.693}, {'136 - 1280x720 (720p)': 1320.099}]",Guitar Making - Excerpt from Laying out the Solera,8255.0
14,,151.0,qv3ZjBv6Hm4,[25],"[{'160 - 256x144 (144p)': 111.031}, {'133 - 426x240 (240p)': 253.532}, {'134 - 640x360 (360p)': 491.385}, {'135 - 854x480 (480p)': 949.191}, {'136 - 1280x720 (720p)': 1727.243}]",The Best of Me trailer | Damon & Elena style,11564.0
15,,132.0,qzI8oC8vyOI,"[2, 7, 48, 177, 213, 224, 267, 415, 566, 3619]","[{'160 - 256x144 (144p)': 110.043}, {'133 - 426x240 (240p)': 247.588}]",Camaro Car Show New York 5th Generation,14309.0
16,Karsh Kale,150.0,kIxnt4S-2Jo,"[106, 974]","[{'160 - 192x144 (144p)': 117.326}, {'133 - 320x240 (240p)': 278.769}]",How to Make a Wi-Fi Connection Without a ROUTER[tested and its work 100%]Win7 & Vista,31407.0
17,,240.0,kIzY61Yn6ak,"[0, 12, 3754]","[{'160 - 256x82 (DASH video)': 108.0}, {'133 - 426x134 (DASH video)': 242.0}, {'134 - 640x202 (DASH video)': 402.813}, {'135 - 854x270 (DASH video)': 1155.0}, {'136 - 1280x406 (DASH video)': 2310.0}, {'137 - 1920x608 (DASH video)': 2441.382}, {'264 - 2560x810 (DASH video)': 4800.759}]",Jonathan Plays Indoor Soccer with FC Dynamo Winnipeg,3947.0
18,,148.0,kJ6vwaH6q_I,"[53, 58, 160, 231, 273, 491, 1139]","[{'160 - 256x144 (144p)': 112.822}, {'133 - 426x240 (240p)': 247.059}, {'134 - 640x360 (360p)': 476.028}, {'135 - 854x480 (480p)': 936.845}, {'136 - 1280x720 (720p)': 1907.416}]",The Crap Show #10 LAAX,9941.0
19,,223.0,kJzzhF0Dskk,"[347, 606]","[{'160 - 256x144 (144p)': 121.358}, {'133 - 426x240 (240p)': 263.777}, {'134 - 640x360 (360p)': 606.38}, {'135 - 854x480 (480p)': 1110.454}, {'136 - 1280x720 (720p)': 2202.859}]",Productfilm B-smart funderingsmehode,7372.0
20,,441.0,kLi4-O3El24,"[0, 1, 349, 1567]","[{'160 - 256x144 (144p)': 112.097}, {'133 - 426x240 (240p)': 245.282}, {'134 - 640x360 (360p)': 633.356}, {'135 - 854x480 (480p)': 1171.664}, {'136 - 1280x720 (720p)': 2334.043}]",PPSSPP Sword Art Online: Infinity Moment (English Patched) Android,841412.0
21,Dhruv Dhalla,186.0,kQiuNOkTh44,[14],"[{'160 - 256x144 (144p)': 110.585}, {'133 - 426x240 (240p)': 248.935}, {'134 - 640x360 (360p)': 447.21}, {'135 - 854x480 (480p)': 909.993}, {'136 - 1280x720 (720p)': 1606.742}, {'137 - 1920x1080 (1080p)': 3284.276}]","Dekh Le Kismat Yaar |Sharafat Gayi Tel Lene |Zayed Khan, Rannvijay Singh, Tena Desai & Talia Bentson",218560.0
22,AC/DC,156.0,GJPiGA82Ee4,"[92, 161]","[{'160 - 192x144 (144p)': 113.827}, {'133 - 320x240 (240p)': 248.226}]",notre nouvelle salle de boxe,1037.0
23,,164.0,GLcCfhD-mtk,"[0, 139]","[{'160 - 218x144 (DASH video)': 108.0}, {'133 - 364x240 (DASH video)': 242.0}, {'134 - 546x360 (DASH video)': 342.132}, {'135 - 728x480 (DASH video)': 1155.0}]",level 82 with magic cape,4706.0
24,,222.0,-QRO49_GgHI,"[2, 7, 174, 458, 830]","[{'160 - 254x144 (144p)': 120.3}, {'133 - 424x240 (240p)': 251.151}, {'134 - 636x360 (360p)': 606.516}]",2007 BMW 3 Series Convertible - Exclusive Interview Pt. 1,1953.0
25,Groove Cutter,447.0,wgrqt-17AZY,"[2, 17, 129]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 601.494}, {'135 - 640x480 (DASH video)': 1155.0}]",IV TROFÉU  DELVAS  1,1216.0
26,Evanescence,179.0,wj87jJaYUp8,"[15, 18, 67, 796, 1434, 2463]","[{'160 - 244x144 (DASH video)': 108.0}, {'133 - 406x240 (DASH video)': 242.0}, {'134 - 608x360 (DASH video)': 606.374}, {'135 - 810x480 (DASH video)': 1155.0}]",Troy Seaton...Schutzhund Helper work 2008,8688.0
27,Feist,490.0,m_P-T2GEU6U,"[53, 58, 228]","[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 614.855}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2310.0}, {'137 - 1920x1080 (DASH video)': 4331.25}]",Kolín and Janovice Big edit 2011,2078.0
28,,208.0,mNxtHxz23sE,[14],"[{'160 - 256x144 (144p)': 112.795}, {'133 - 426x240 (240p)': 261.095}, {'134 - 640x360 (360p)': 606.626}, {'135 - 854x480 (480p)': 1109.845}, {'136 - 1280x720 (720p)': 2207.991}, {'137 - 1920x1080 (1080p)': 4128.085}]",Gaspar Laci  Minden bajom elszáll HD,52448.0
29,Nicholas Hooper,403.0,J_W3OrSPV00,"[8, 282]","[{'160 - 256x80 (144p)': 114.979}, {'133 - 426x134 (240p)': 257.382}, {'134 - 640x202 (360p)': 466.213}, {'135 - 854x270 (480p)': 904.262}, {'136 - 1280x404 (720p)': 1626.979}, {'137 - 1920x608 (1080p)': 2953.858}, {'264 - 2276x720 (1080p)': 4639.79}]",Harry Potter and the Deathly Dance Off,1370.0
30,,242.0,FKRgWubUTPA,"[242, 254, 470]","[{'160 - 192x144 (144p)': 134.107}, {'133 - 320x240 (240p)': 302.63}, {'134 - 480x360 (360p)': 351.57}, {'135 - 640x480 (480p)': 651.355}, {'136 - 960x720 (720p)': 1445.412}]",#RichSims of Sunlit Tides,35694.0
31,,185.0,FLj1aHoDfdA,"[62, 818, 1346, 3286]","[{'160 - 192x144 (144p)': 113.627}, {'133 - 320x240 (240p)': 250.099}, {'134 - 480x360 (360p)': 608.427}]",Rotovac 360I Demonstration,2301.0
32,,446.0,FLROfJ-in60,"[0, 1, 35, 85]","[{'160 - 256x144 (144p)': 112.283}, {'133 - 426x240 (240p)': 253.036}, {'134 - 640x360 (360p)': 645.314}, {'135 - 854x480 (480p)': 1183.358}, {'136 - 1280x720 (720p)': 2331.841}, {'137 - 1920x1080 (1080p)': 4368.334}]",افضل 12 طريقه للموت في قراند gta 5,13100.0
33,,119.0,87ktFwQI0d8,"[39, 121, 202, 207]","[{'160 - 192x144 (144p)': 117.968}, {'133 - 320x240 (240p)': 257.51}, {'134 - 480x360 (360p)': 317.728}, {'135 - 640x480 (480p)': 744.121}]",Black Lipstick Tutorial/White Flower,5660.0
34,Joi Veer,131.0,87YbTBRO-IU,[248],"[{'160 - 218x144 (144p)': 110.577}, {'133 - 362x240 (240p)': 258.273}, {'134 - 544x360 (360p)': 611.188}]",(Avsa-avsa.com) Avşa adası sahilinden plaj görüntüleri,2684.0
35,,228.0,8Cerp8FJV7A,"[451, 1301]","[{'160 - 256x144 (144p)': 110.396}, {'133 - 426x240 (240p)': 247.721}, {'134 - 640x360 (360p)': 624.86}, {'135 - 854x480 (480p)': 1141.348}, {'136 - 1280x720 (720p)': 2226.238}, {'137 - 1920x1080 (1080p)': 4180.686}]",ＵＦＯキャッチャー『俺は何もしていないｗ』,38590.0
36,Skillet,218.0,8EFzf5_dCoA,"[5, 1981]","[{'160 - 256x144 (144p)': 112.612}, {'133 - 426x240 (240p)': 248.521}, {'134 - 640x360 (360p)': 613.93}, {'135 - 854x480 (480p)': 1136.834}, {'136 - 1280x720 (720p)': 2237.722}]",Kanda vs Skin AMV,4729.0
37,,319.0,8EtXFd_riC0,"[3, 4, 9, 13]","[{'160 - 192x144 (144p)': 114.814}, {'133 - 320x240 (240p)': 247.061}, {'134 - 480x360 (360p)': 607.789}, {'135 - 640x480 (480p)': 1115.062}]",Jim Kahr & Maxine Howard (USA) / 80's  Swiss TV broadcast...a blast from the past,2777.0
38,,192.0,jdpZzC4P0B4,[0],"[{'160 - 172x144 (144p)': 118.085}, {'133 - 286x240 (240p)': 269.082}, {'134 - 428x360 (360p)': 369.272}, {'135 - 570x480 (480p)': 660.517}, {'136 - 856x720 (720p)': 1121.011}, {'137 - 1284x1080 (1080p)': 1861.726}]",Farm Heroes Saga Level 601,9280.0
39,,132.0,5nEFV-jpHKA,"[0, 1, 153]","[{'160 - 256x144 (144p)': 117.456}, {'133 - 426x240 (240p)': 250.569}, {'134 - 640x360 (360p)': 604.971}]",Pipeline map - Americas Army 3,5763.0
40,,156.0,zwrGya4Eu3Y,"[5, 16, 816]","[{'160 - 192x144 (144p)': 115.747}, {'133 - 320x240 (240p)': 261.241}, {'134 - 480x360 (360p)': 295.329}, {'135 - 640x480 (480p)': 639.939}]",Children Bible Story 06 - The test of God,3514.0
41,,499.0,bmjHoLfg7SE,"[9, 10]","[{'134 - 480x360 (360p)': 247.527}, {'135 - 640x480 (480p)': 504.433}]",CONSERVATORIO DE LAS ROSAS,3898.0
42,,205.0,bnwYhFTK4vM,"[2, 30]","[{'160 - 192x144 (144p)': 113.36}, {'133 - 320x240 (240p)': 247.44}, {'134 - 480x360 (360p)': 611.818}]",Cr125 Honda,1544.0
43,Josh Woodward,384.0,bpDTMd8cY5Y,"[11, 817]","[{'160 - 256x144 (144p)': 112.195}, {'133 - 426x240 (240p)': 260.777}, {'134 - 640x360 (360p)': 603.372}, {'135 - 854x480 (480p)': 1106.304}, {'136 - 1280x720 (720p)': 2212.467}, {'137 - 1920x1080 (1080p)': 4135.068}]",DIY Candy Okashina Mizuame,10041.0
44,,434.0,bqYqzgGMwcU,"[5, 16]","[{'160 - 256x144 (144p)': 112.966}, {'133 - 426x240 (240p)': 248.073}, {'134 - 640x360 (360p)': 606.854}, {'135 - 854x480 (480p)': 1113.177}]",Pinocchio Abridged Episode 5,37543.0
45,Immediate Music,422.0,bqVrlavfBwo,"[0, 79, 91]","[{'160 - 256x144 (144p)': 118.585}, {'133 - 426x240 (240p)': 251.5}, {'134 - 640x360 (360p)': 614.873}]",LCC vs Oceanside - 2011 playoffs hype,5352.0
46,,310.0,buV7BsUI1oA,"[0, 1, 63]","[{'160 - 192x144 (144p)': 111.586}, {'133 - 320x240 (240p)': 259.07}, {'134 - 480x360 (360p)': 616.106}, {'135 - 640x480 (480p)': 1127.474}]",WWF No Mercy Patch Battle of The Brands 2010 Download Link,23159.0
47,,222.0,WW0jw0a7zPc,[12],"[{'160 - 256x140 (144p)': 111.851}, {'133 - 426x234 (240p)': 248.305}, {'134 - 640x352 (360p)': 344.927}, {'135 - 854x470 (480p)': 663.571}]",FUTBOL | Tarık Çamdal'dan Açıklamalar,35331.0
48,,157.0,WXWS4A2MK5I,[972],"[{'160 - 256x144 (144p)': 118.711}, {'133 - 426x240 (240p)': 264.7}, {'134 - 640x360 (360p)': 349.896}, {'135 - 854x480 (480p)': 842.228}, {'136 - 1280x720 (720p)': 1917.002}, {'298 - 1280x720 (720p60)': 3151.16}]",C4D tutorial: Boole Tool.,2023.0
49,,131.0,WXHjuG78pyc,"[368, 453]","[{'160 - 256x144 (144p)': 123.743}, {'133 - 426x240 (240p)': 250.178}, {'134 - 640x360 (360p)': 611.74}, {'135 - 854x480 (480p)': 1110.503}]",Baby eating wasabi,11653.0
50,,154.0,WZUhsUAtyCM,[26],"[{'134 - 640x360 (360p)': 635.214}, {'137 - 1920x1080 (1080p)': 4484.531}]",Quais personalizados eu fiz | Branca de Neve,11844.0
51,,229.0,WaXDt9joIAQ,"[0, 1, 27]","[{'160 - 256x144 (144p)': 110.996}, {'133 - 426x240 (240p)': 254.99}, {'134 - 640x360 (360p)': 606.742}, {'135 - 854x480 (480p)': 1111.664}, {'136 - 1280x720 (720p)': 2218.644}]",Minecraft - SKYWARS - Gameplay en español - ¡Hypixel!,2877.0
52,,261.0,SC4LGw9i_KM,"[377, 1585]","[{'160 - 256x144 (144p)': 114.149}, {'133 - 426x240 (240p)': 257.635}, {'134 - 640x360 (360p)': 425.812}, {'135 - 854x480 (480p)': 776.872}, {'136 - 1280x720 (720p)': 1756.144}]",AC 130H Spectre Gunship: The Final Chapter,4568.0
53,,279.0,tGDVCdt8YxE,"[3, 6]","[{'160 - 256x144 (144p)': 110.172}, {'133 - 426x240 (240p)': 247.737}, {'134 - 640x360 (360p)': 609.748}, {'135 - 854x480 (480p)': 1116.206}, {'136 - 1280x720 (720p)': 2206.601}]","Manic Street Preachers - Yes (live in London, Dec '14)",1587.0
54,,263.0,nS4eiFPklWc,[333],"[{'160 - 256x144 (144p)': 111.705}, {'133 - 426x240 (240p)': 248.433}, {'134 - 640x360 (360p)': 516.809}, {'135 - 854x480 (480p)': 949.7}, {'136 - 1280x720 (720p)': 1910.086}]",Bryan's Jump Rope Review and Info,53176.0
55,,141.0,YtNJZLTKv5I,"[11, 20, 229, 1145]","[{'160 - 256x144 (144p)': 112.147}, {'133 - 426x240 (240p)': 248.268}, {'134 - 640x360 (360p)': 605.337}, {'135 - 854x480 (480p)': 1110.675}, {'136 - 1280x720 (720p)': 2204.664}]",Цитрусовый чай,1367.0
56,,141.0,Yu31lelfplE,"[14, 48]","[{'160 - 256x144 (144p)': 112.147}, {'133 - 426x240 (240p)': 248.268}, {'134 - 640x360 (360p)': 605.337}, {'135 - 854x480 (480p)': 1110.675}, {'136 - 1280x720 (720p)': 2204.664}]",Цитрусовый чай,1367.0
57,,141.0,Yv_P0yeCax8,[25],"[{'160 - 256x144 (144p)': 112.147}, {'133 - 426x240 (240p)': 248.268}, {'134 - 640x360 (360p)': 605.337}, {'135 - 854x480 (480p)': 1110.675}, {'136 - 1280x720 (720p)': 2204.664}]",Цитрусовый чай,1367.0
58,,183.0,YyV4WTMkdSI,"[2, 45, 51, 456]","[{'160 - 256x144 (144p)': 115.03}, {'133 - 426x240 (240p)': 245.902}, {'134 - 640x360 (360p)': 575.958}, {'135 - 854x480 (480p)': 1114.152}, {'136 - 1280x720 (720p)': 2224.193}]","Dutch Railroad Crossing / Overweg Venlo Bovenste molen , Freight Train is passing.",2386.0
59,,278.0,lIxKPWnWWX8,"[0, 5]","[{'160 - 170x144 (144p)': 125.272}, {'134 - 426x360 (360p)': 221.257}, {'133 - 284x240 (240p)': 313.011}, {'135 - 568x480 (480p)': 459.104}, {'136 - 852x720 (720p)': 972.828}]",Escape from Colorful Books Room Walkthrough,1862.0
60,,125.0,lOU5i3YM_xA,"[15, 603, 1376]","[{'160 - 256x144 (144p)': 112.176}, {'133 - 426x240 (240p)': 246.464}, {'134 - 640x360 (360p)': 451.028}, {'135 - 854x480 (480p)': 865.888}, {'136 - 1280x720 (720p)': 2203.672}]",MONROY(CACERES),2249.0
61,,300.0,lOTC69NVZMs,"[1, 111]","[{'160 - 256x144 (144p)': 113.999}, {'133 - 426x240 (240p)': 259.444}, {'134 - 640x360 (360p)': 603.127}, {'135 - 854x480 (480p)': 1122.845}, {'136 - 1280x720 (720p)': 2210.697}]","Лига Легенд - Рывок к победе (сезон 1,эпизод 4)",10365.0
62,,279.0,lPvGoMvJvwI,"[3, 6]","[{'160 - 192x144 (144p)': 113.084}, {'133 - 320x240 (240p)': 247.611}]",Jingle Ball 2007 in Minnesota - Avril Lavigne,2124.0
63,,254.0,lQ5NC9giTY8,[14],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 609.569}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2215.23}]",Mikel Ameen - No Way (Official Music Video),3768.0
64,,296.0,lRTdBLFqF8U,"[0, 1]","[{'160 - 256x144 (144p)': 116.735}, {'134 - 640x360 (360p)': 224.084}, {'133 - 426x240 (240p)': 263.009}, {'135 - 854x480 (480p)': 459.751}, {'136 - 1280x720 (720p)': 831.855}]",Gravity Falls: Soos Plays - Confusing Adventure!,62424.0
65,,182.0,-XcE-snch0o,"[10, 97, 243, 351]","[{'160 - 192x144 (144p)': 119.005}, {'133 - 320x240 (240p)': 247.888}, {'134 - 480x360 (360p)': 445.754}, {'135 - 640x480 (480p)': 1131.356}]",Yellow Rose Waltz.MP4,10766.0
66,,201.0,N7pBFKLPjbk,"[154, 263, 2640]","[{'160 - 192x144 (144p)': 113.937}, {'133 - 320x240 (240p)': 249.619}, {'134 - 480x360 (360p)': 604.214}, {'135 - 640x480 (480p)': 1103.619}]",Patric Gensing - Schöne Marschenka (Wachtelpolka),6500.0
67,R. Leach,279.0,NSDBE4opZN4,[205],"[{'160 - 192x144 (144p)': 115.317}, {'133 - 320x240 (240p)': 246.236}, {'134 - 480x360 (360p)': 609.596}, {'135 - 640x480 (480p)': 1111.966}]",За първи път на училище,12026.0
68,,380.0,qQ2VefWTWoY,"[0, 52, 70, 125]","[{'160 - 256x144 (144p)': 111.591}, {'133 - 426x240 (240p)': 250.61}, {'134 - 640x360 (360p)': 618.093}, {'135 - 854x480 (480p)': 1125.752}, {'136 - 1280x720 (720p)': 2238.107}, {'298 - 1280x720 (720p60)': 3334.864}]",Throwback: Carmelo Anthony vs Lebron James Full Duel Highlights 2011.02.27 Knicks at Heat - SICK!,332039.0
69,Max Pezzali,276.0,qUrmJea7vB0,[12],"[{'160 - 192x144 (144p)': 120.17}, {'133 - 320x240 (240p)': 260.86}, {'134 - 480x360 (360p)': 341.404}, {'135 - 640x480 (480p)': 706.157}]",Ultras Saronno - Sempre Noi,2427.0
70,The Black Keys,273.0,qYzMAlFdYtI,"[92, 110, 369]","[{'160 - 256x144 (144p)': 118.94}, {'133 - 426x240 (240p)': 271.39}, {'134 - 640x360 (360p)': 608.618}, {'135 - 854x480 (480p)': 1111.672}, {'136 - 1280x720 (720p)': 2226.109}]",MMA Tampa. An evening at Gracie Tampa south,3530.0
71,The Black Keys,273.0,eQjq2I9dLVk,[79],"[{'160 - 256x144 (144p)': 118.94}, {'133 - 426x240 (240p)': 271.39}, {'134 - 640x360 (360p)': 608.618}, {'135 - 854x480 (480p)': 1111.672}, {'136 - 1280x720 (720p)': 2226.109}]",MMA Tampa. An evening at Gracie Tampa south,3530.0
72,,172.0,WRaH84zoP9w,"[15, 502, 603]","[{'160 - 82x144 (DASH video)': 108.0}, {'133 - 136x240 (DASH video)': 242.0}, {'134 - 202x360 (DASH video)': 253.714}, {'135 - 270x480 (DASH video)': 1155.0}]",Santacara Agosto 2014 toro tras derribar la cabina telefónica conmocionad. Hnos Arriazu.,1643.0
73,Michel Camilo,184.0,lu_uB5lLuyo,"[62, 411, 1277]","[{'160 - 192x144 (144p)': 111.93}, {'133 - 320x240 (240p)': 246.814}]",Brick forming line,110763.0
74,,254.0,agpIMpvwXUM,"[0, 1, 27]","[{'160 - 256x132 (144p)': 119.649}, {'133 - 426x220 (240p)': 250.913}, {'134 - 640x332 (360p)': 621.325}]",MineCraft CTF ( Captuer The Flag ) cracked Server Gameplay + IP,10813.0
75,,206.0,gY8yhOTv9T4,"[3, 4, 6, 9, 10, 13]","[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 603.617}, {'135 - 640x480 (DASH video)': 1155.0}]",The Meg & Dia Band - Indiana,3574.0
76,Soulfly,291.0,cnB5_Sr37t8,[592],"[{'160 - 192x144 (144p)': 120.116}, {'133 - 320x240 (240p)': 262.114}]",Best 10 heavy metal albums of 2010,4462.0
77,Supergarage,254.0,_2lGloOaW50,"[1, 777]","[{'160 - 256x144 (144p)': 111.819}, {'134 - 640x360 (360p)': 234.582}, {'133 - 426x240 (240p)': 264.232}, {'135 - 854x480 (480p)': 498.918}, {'136 - 1280x720 (720p)': 1021.769}, {'137 - 1920x1080 (1080p)': 1989.84}]",How To Install Far Cry 3-Black Box [WORKING 100%],48682.0
78,,153.0,_6N1UG_uaQE,"[3, 4, 13, 41]","[{'160 - 256x144 (144p)': 115.064}, {'133 - 426x240 (240p)': 246.998}, {'134 - 640x360 (360p)': 375.864}, {'135 - 854x480 (480p)': 767.977}, {'136 - 1280x720 (720p)': 1812.09}]",Madrigal of Joy,2142.0
79,,458.0,_8AYx24zOb8,"[39, 121, 156, 338]","[{'160 - 256x144 (144p)': 111.67}, {'133 - 426x240 (240p)': 247.216}, {'134 - 640x360 (360p)': 335.662}, {'135 - 854x480 (480p)': 691.912}, {'136 - 1280x720 (720p)': 1377.983}]","como recortar, perfilar y pintar la ceja",8848.0
80,,220.0,K80sG2x0lYc,"[0, 1, 63, 989]","[{'160 - 256x144 (144p)': 116.136}, {'133 - 426x240 (240p)': 263.505}, {'134 - 640x360 (360p)': 592.542}, {'135 - 854x480 (480p)': 1121.007}, {'136 - 1280x720 (720p)': 2227.586}]","NBA 2K15 Los Angeles Lakers MyGM Mode #4 - Off-season Signings, Are We There Yet?",1490.0
81,,133.0,KAiuaTSD0MY,"[205, 1245]","[{'160 - 192x144 (144p)': 117.198}, {'133 - 320x240 (240p)': 248.171}, {'134 - 480x360 (360p)': 393.387}, {'135 - 640x480 (480p)': 862.411}]",Preschool Parkland FL There Is An Affordable Top Rated Parkland FL Pre School For Your Child,19422.0
82,,133.0,KBhKm1H8bdg,"[0, 1, 104]","[{'160 - 192x144 (144p)': 117.198}, {'133 - 320x240 (240p)': 248.171}, {'134 - 480x360 (360p)': 393.387}, {'135 - 640x480 (480p)': 862.411}]",Preschool Parkland FL There Is An Affordable Top Rated Parkland FL Pre School For Your Child,19422.0
83,,370.0,KH8tCgaBeno,[3],"[{'160 - 192x144 (144p)': 111.065}, {'133 - 320x240 (240p)': 249.35}, {'134 - 480x360 (360p)': 603.489}]",Los Piojos - El Balneario de los Doctores Crotos (Ultimo Ritual),18235.0
84,,146.0,6F3wFvgY04k,[2544],"[{'160 - 192x144 (144p)': 110.703}, {'133 - 320x240 (240p)': 246.99}]",Pater Noster,188629.0
85,Axel Coon,149.0,6F9Q9FwmH7s,[8],"[{'160 - 192x144 (DASH video)': 108.0}, {'133 - 320x240 (DASH video)': 242.0}, {'134 - 480x360 (DASH video)': 561.404}, {'135 - 640x480 (DASH video)': 1155.0}]",L2S//reenaaH shuffle prac II,2483.0
86,,196.0,6K-rBXmHkmE,"[8, 54]","[{'160 - 256x144 (144p)': 114.407}, {'133 - 426x240 (240p)': 248.768}, {'134 - 640x360 (360p)': 614.866}, {'135 - 854x480 (480p)': 1124.26}, {'136 - 1280x720 (720p)': 2242.954}, {'137 - 1920x1080 (1080p)': 4153.322}]",OSP Mykanów,24548.0
87,Show Lo,213.0,6OwNJQYQ-0s,[8],"[{'160 - 256x144 (DASH video)': 108.0}, {'133 - 426x240 (DASH video)': 242.0}, {'134 - 640x360 (DASH video)': 467.196}, {'135 - 854x480 (DASH video)': 1155.0}, {'136 - 1280x720 (DASH video)': 2202.201}]",羅志祥 Show Lo 獨一無二舞蹈版 Only You+CHANGE 舞蹈教學,6049.0
88,Hakim,172.0,6OR1blE9Xuo,[8],"[{'160 - 108x144 (144p)': 116.917}, {'133 - 180x240 (144p)': 245.914}, {'134 - 270x360 (240p)': 251.337}, {'135 - 360x480 (360p)': 523.846}]",Piper of Daughters of Rhea and PiperMethod teaches cane combinations at Moody Street Circus,2216.0
